Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
pybind11::cpp_function::dispatcher	0.010000	0.010000	0.0	0.0	libtorch_python.so	pybind11::cpp_function::dispatcher(_object*, _object*, _object*)	[Unknown]	0x3ed350
func@0x519930	0.010000	0.010000	0.0	0.0	python3.12	func@0x519930	[Unknown]	0x519930
PyLong_FromSsize_t	0.010000	0.010000	0.0	0.0	python3.12	PyLong_FromSsize_t	[Unknown]	0x562130
at::impl::torch_function_mode_enabled	0.010000	0.010000	0.0	0.0	libtorch_cpu.so	at::impl::torch_function_mode_enabled(void)	[Unknown]	0x1a67cb0
c10::impl::OperatorEntry::getKernelForDispatchKey	0.010000	0.010000	0.0	0.0	libtorch_cpu.so	c10::impl::OperatorEntry::getKernelForDispatchKey(c10::DispatchKey) const	[Unknown]	0x1cdfc20
fmt::v12::detail::parse_format_string<char, fmt::v12::detail::format_handler<char>>	0.010000	0.010000	0.0	0.0	libtorch_cpu.so	fmt::v12::detail::parse_format_string<char, fmt::v12::detail::format_handler<char>>(fmt::v12::basic_string_view<char>, fmt::v12::detail::format_handler<char>&&)	[Unknown]	0x1a4f800
func@0x586ec0	0.010000	0.010000	0.0	0.0	python3.12	func@0x586ec0	[Unknown]	0x586ec0
func@0x5a01f0	0.010000	0.010000	0.0	0.0	python3.12	func@0x5a01f0	[Unknown]	0x5a01f0
torch::Library::_parseNameForLib	0.010000	0.010000	0.0	0.0	libtorch_cpu.so	torch::Library::_parseNameForLib(char const*) const	[Unknown]	0x1d19e30
at::native::structured_addmm_out_cpu::impl	0.010000	0.010000	0.0	0.0	libtorch_cpu.so	at::native::structured_addmm_out_cpu::impl(at::Tensor const&, at::Tensor const&, at::Tensor const&, c10::Scalar const&, c10::Scalar const&, at::Tensor const&)	[Unknown]	0x1fc8720
is_compiling	0.010000	0.010000	0.0	0.0	optimizer.py	is_compiling	optimizer.py	0x7286fcf31200
std::__1::unordered_map<std::__1::tuple<void*, int, void*>, void* (*)(void*, void*, int, void* (*)(void*, void*, int)), pycollect::Trampoline::CodeObjectKeyHash, std::__1::equal_to<std::__1::tuple<void*, int, void*>>, std::__1::allocator<std::__1::pair<std::__1::tuple<void*, int, void*> const, void* (*)(void*, void*, int, void* (*)(void*, void*, int))>>>::operator[]	0.010000	0.010000	0.0	0.0	libtpsstool.so	std::__1::unordered_map<std::__1::tuple<void*, int, void*>, void* (*)(void*, void*, int, void* (*)(void*, void*, int)), pycollect::Trampoline::CodeObjectKeyHash, std::__1::equal_to<std::__1::tuple<void*, int, void*>>, std::__1::allocator<std::__1::pair<std::__1::tuple<void*, int, void*> const, void* (*)(void*, void*, int, void* (*)(void*, void*, int))>>>::operator[](std::__1::tuple<void*, int, void*> const&)	[Unknown]	0x948f30
c10::Device::Device	0.010000	0.010000	0.0	0.0	libc10.so	c10::Device::Device(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)	[Unknown]	0x3e810
c10::Argument::cloneWithType	0.010000	0.010000	0.0	0.0	libtorch_cpu.so	c10::Argument::cloneWithType(c10::Type::SingletonOrSharedTypePtr<c10::Type> const&) const	[Unknown]	0x1cf8610
func@0x421e10	0.009999	0.009999	0.0	0.0	python3.12	func@0x421e10	[Unknown]	0x421e10
PyMethod_New	0.009999	0.009999	0.0	0.0	python3.12	PyMethod_New	[Unknown]	0x54c830
